,fracture_rate,femur_rate,humerus_rate,forearm_rate,habitable_slope_weighted,aging_rate,fast_walking_rate,pop_density
fracture_rate,1.0,0.9624506060649763,0.8012574743473239,0.8126224872664513,0.39448291153624226,0.4300606494958776,0.011117368232777975,-0.238247725242276
femur_rate,0.9624506060649763,1.0,0.6974053222252681,0.640156528397109,0.4747449153476859,0.5328047095202819,-0.04394857877393518,-0.3357877408748421
humerus_rate,0.8012574743473239,0.6974053222252681,1.0,0.6560786443058384,0.13812235940390358,0.15185285884077426,0.17675147517292622,0.005657629121698416
forearm_rate,0.8126224872664513,0.640156528397109,0.6560786443058384,1.0,0.1773728005709387,0.1560258435057751,0.05970205849955269,-0.03189132924619014
habitable_slope_weighted,0.39448291153624226,0.4747449153476859,0.13812235940390358,0.1773728005709387,1.0,0.5046942742671642,-0.26430439967512975,-0.34526685468793383
aging_rate,0.4300606494958776,0.5328047095202819,0.15185285884077426,0.1560258435057751,0.5046942742671642,1.0,-0.4064651034168672,-0.6282131000900648
fast_walking_rate,0.011117368232777975,-0.04394857877393518,0.17675147517292622,0.05970205849955269,-0.26430439967512975,-0.4064651034168672,1.0,0.3811954704146626
pop_density,-0.238247725242276,-0.3357877408748421,0.005657629121698416,-0.03189132924619014,-0.34526685468793383,-0.6282131000900648,0.3811954704146626,1.0
